sale_id,order_id,order_date,customer_id,product_id,quantity,unit_price,discount,total_amount
1,1,2024-01-09,1772,461,2,308.73,0.01,611.29
2,2,2023-08-14,1136,373,2,767.73,0.08,1412.62
3,3,2023-07-24,3946,179,5,490.78,0.2,1963.12
4,4,2024-05-22,3827,263,4,360.87,0.28,1039.31
5,4,2024-05-22,3827,129,2,91.59,0.06,172.19
6,4,2024-05-22,3827,434,3,246.71,0.29,525.49
7,4,2024-05-22,3827,53,5,530.7,0.24,2016.66
8,5,2023-11-16,4814,407,2,314.33,0.29,446.35
9,5,2023-11-16,4814,250,4,76.44,0.26,226.26
10,6,2024-09-02,3472,418,3,786.95,0.19,1912.29
11,6,2024-09-02,3472,311,4,500.13,0.13,1740.45
12,6,2024-09-02,3472,291,3,822.75,0.11,2196.74
13,7,2024-04-05,527,456,1,362.01,0.29,257.03
14,7,2024-04-05,527,130,5,418.92,0.12,1843.25
15,8,2024-10-22,4948,181,4,394.99,0.01,1564.16
16,8,2024-10-22,4948,93,3,342.57,0.13,894.11
17,8,2024-10-22,4948,96,3,579.24,0.07,1616.08
18,8,2024-10-22,4948,111,3,777.58,0.11,2076.14
19,8,2024-10-22,4948,400,3,443.81,0.04,1278.17
20,9,2024-12-05,2610,368,3,211.53,0.06,596.51
21,10,2023-11-26,4649,288,1,396.61,0.12,349.02
22,10,2023-11-26,4649,309,2,457.19,0.16,768.08
23,11,2024-07-28,844,367,5,550.99,0.28,1983.56
24,11,2024-07-28,844,414,1,103.23,0.17,85.68
25,11,2024-07-28,844,331,4,441.53,0.2,1412.9
26,12,2023-11-22,3566,102,2,447.08,0.01,885.22
27,12,2023-11-22,3566,253,4,170.5,0.01,675.18
28,12,2023-11-22,3566,141,4,805.78,0.04,3094.2
29,13,2023-06-25,3710,168,5,63.91,0.11,284.4
30,13,2023-06-25,3710,296,1,77.4,0.09,70.43
31,13,2023-06-25,3710,330,5,324.22,0.3,1134.77
32,13,2023-06-25,3710,467,4,179.1,0.09,651.92
33,13,2023-06-25,3710,431,4,455.33,0.01,1803.11
34,14,2024-06-24,4371,173,1,898.11,0.02,880.15
35,15,2024-03-01,780,141,3,805.78,0.23,1861.35
36,15,2024-03-01,780,205,1,360.83,0.17,299.49
37,15,2024-03-01,780,161,4,472.51,0.18,1549.83
38,16,2023-11-02,3223,253,1,170.5,0.25,127.88
39,16,2023-11-02,3223,481,5,253.19,0.03,1227.97
40,16,2023-11-02,3223,115,1,433.27,0.25,324.95
41,16,2023-11-02,3223,72,1,727.03,0.3,508.92
42,17,2023-08-20,3570,46,2,453.32,0.22,707.18
43,17,2023-08-20,3570,416,3,204.45,0.24,466.15
44,18,2023-01-06,4404,133,1,186.46,0.03,180.87
45,19,2023-03-18,2493,169,5,499.1,0.24,1896.58
46,19,2023-03-18,2493,195,3,393.25,0.21,932.0
47,19,2023-03-18,2493,474,2,557.84,0.18,914.86
